"typ","ort","adresse","anzahl","latitude","longitude"
"Tramlinie Linie 27","München","Karolinenplatz",1,48.14533,11.56943
"Tramlinie Linie 27","München","Kurfürstenplatz",1,48.15998,11.57483
"Tramlinie Linie 27","München","Nordbad",1,48160876,11.56453
"Tramlinie Linie 27","München","Nordendstraße",1,48.15488,11.57548
"Tramlinie Linie 27","München","Petuelring ",1,48.175171,11.566387
"Tramlinie Linie 27","München","Pinakothek",1,48.14875,11.571878
"Tramlinie Linie 27","München","Pinakothek",1,48.14924,11.57199
"Tramlinie Linie 27","München","Schellingstraße",1,48.15127,11.573339
"Tramlinie Linie 27","München","Schellingstraße",1,48.15078,11.5732
"Öffentlicher Platz","München","Deutsches Museum",2,48.130365,11.583793
"Öffentlicher Platz","München","Deutsches Museum",2,48.131738,11.58581
"Öffentlicher Platz","München","Olympiapark 
(Coubertin-Platz)",2,48.17429,11.551189
"Öffentlicher Platz","München","Olympiapark 
(Coubertin-Platz)",2,48.174434,11.548796
"Öffentlicher Platz","München","Poccistr",2,48.124876,11.549616
"Öffentlicher Platz","München","Poccistr",2,48.12503,11.54938
"Öffentlicher Platz","München","Sendlinger-Tor-Platz",0,48.133954,11.567202
"Öffentlicher Platz","München","Sendlinger-Tor-Platz",0,48.133966,11.565666
"Öffentlicher Platz / TOS","München","Odeonsplatz",3,48.142887,11.577463
"Öffentlicher Platz / TOS","München","Odeonsplatz",3,48.142656,11.578044
"Öffentlicher Platz / TOS","München","Odeonsplatz",3,48.14238,11.577907
"Smarter City","München","Gruenfinger",2,48.146017,11.409967
"Smarter City","München","Gruenfinger",2,48.145949,11.408143
"TOS","München","Marienplatz Ost",3,48.137197,11.575504
"TOS","München","Marienplatz Ost",3,48.137337,11.575855
"TOS","München","Marienplatz Ost",3,48.136943,11.576383
"TOS","München","Marienplatz West",2,48.137278,11.57469
"TOS","München","Marienplatz West",2,48.137474,11.575241
